data_record_bytes,permission_record_bytes,history_record_bytes,architecture,privacy,logical_accesses,physical_paths,physical_blocks,physical_blocks_4k_equiv,bytes_action,tree_storage_bytes,position_map_bytes,stash_bytes,trusted_state_bytes,dummy_fraction,rounds_serial,rounds_parallel,local_compute_us,storage_amplification,read_write_amplification,logical_block_counts,block_sizes,tree_heights
512,256,1024,SCAN-PERMISSION,pass,3,3,320,130.0,532480,67364864,49152,6144,55296,0.25,3,3,54,7.7871685606060606,297.14285714285717,data:8192;hist:4096;perm-scan:1024,data:512;hist:1024;perm:256,data:13;hist:12;perm:scan
512,256,1024,SCAN-HISTORY,pass,2,2,200,2067.5,8468480,39842816,36864,6144,43008,0.3333333333333333,2,3,36,4.605705492424242,4725.714285714285,data:8192;perm:1024;hist-scan:4096,data:512;perm:256;hist:1024,data:13;perm:10;hist:scan
512,256,1024,SCAN-BOTH,pass,1,1,112,2126.0,8708096,38008832,32768,6144,38912,0.3333333333333333,1,3,18,4.393702651515151,4859.428571428572,data:8192;perm-scan:1024;hist-scan:4096,data:512;perm:256;hist:1024,data:13;perm:scan;hist:scan
512,512,64,MODULAR-ORAM,leak,3,3,300.0,20.4375,83712.0,39841536,53248,3072,56320,0,3,3,54,7.999126233552632,76.94117647058823,data:8192;perm:1024;hist:4096,data:512;perm:512;hist:64,data:13;perm:10;hist:12
512,512,64,NAIVE-FIXED,pass,4,4,408,28.25,115712,39841536,53248,3072,56576,0.25,4,3,72,7.999126233552632,106.3529411764706,data:8192;perm:1024;hist:4096,data:512;perm:512;hist:64,data:13;perm:10;hist:12
512,512,64,CANONICAL-MODULAR,pass,4,4,408,28.25,115712,39841536,53248,3072,56576,0.25,4,3,72,7.999126233552632,106.3529411764706,data:8192;perm:1024;hist:4096,data:512;perm:512;hist:64,data:13;perm:10;hist:12
512,512,64,UNIFIED-FIXED,pass,3,3,360,45.0,184320,67106816,53248,3072,56320,0,3,3,54,13.47327302631579,169.41176470588235,unified:13312,unified:512,unified:14
512,512,64,UNIFIED-PACKED,pass,3.0,3.0,288.0,288.0,1179648.0,67092480,5596,3072,8668,0,3,3,54.0,13.470394736842104,1084.235294117647,packed-pages:1399,packed:4096,unified-packed:11
512,512,64,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,432.0,432.0,1769472.0,66977792,16788,3072,19860,0,6,6,108.0,13.447368421052632,1626.3529411764705,packed-pages:1399,packed:4096,8 partitions:8
512,512,64,HYBRID-P,pass,3,3,320,17.25,70656,35649280,49152,3072,576512,0.3333333333333333,3,2,54,7.157432154605263,64.94117647058823,data:8192;hist:4096,data:512;hist:64,data:13;hist:12
512,512,64,HYBRID-PH,pass,1,1,112,14.0,57344,33552384,32768,3072,822272,0.5,1,1,18,6.736430921052632,52.705882352941174,data:8192,data:512,data:13
