system,distribution,variant,feature,split,metric,mean,std,chance,permutation_mean,permutation_std
PAuth-derived,balanced,CANONICAL-MODULAR,F5,random,accuracy,0.4865740740740741,0.01408807782842865,0.5,0.49953703703703706,0.02724803512881881
PAuth-derived,balanced,CANONICAL-MODULAR,F5,random,macro_f1,0.4717802600262172,0.014781216605335568,0.5,0.49953703703703706,0.02724803512881881
PAuth-derived,balanced,CANONICAL-MODULAR,F5,random,roc_auc,0.4990014019654094,0.017685748115312545,0.5,0.49953703703703706,0.02724803512881881
PAuth-derived,balanced,MODULAR-ORAM,F0,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,MODULAR-ORAM,F0,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,MODULAR-ORAM,F0,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,MODULAR-ORAM,F1,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,MODULAR-ORAM,F1,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,MODULAR-ORAM,F1,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,MODULAR-ORAM,F2,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,MODULAR-ORAM,F2,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,MODULAR-ORAM,F2,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,MODULAR-ORAM,F3,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,MODULAR-ORAM,F3,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,MODULAR-ORAM,F3,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
PAuth-derived,balanced,MODULAR-ORAM,F4,grouped_entity,accuracy,0.512008931339483,0.004202564618700843,0.5,0.5138969192902088,0.014996646390282064
PAuth-derived,balanced,MODULAR-ORAM,F4,grouped_entity,macro_f1,0.33862313457285526,0.001838763351521603,0.5,0.5138969192902088,0.014996646390282064
PAuth-derived,balanced,MODULAR-ORAM,F4,grouped_entity,roc_auc,0.5,0.0,0.5,0.5138969192902088,0.014996646390282064
PAuth-derived,balanced,MODULAR-ORAM,F4,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
