seed,analysis,secret,variant,feature_level,split,metric,value,chance,permutation
1,mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,grouped_entity,macro_f1,1.0,0.5,0.47196406373554206
1,mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,grouped_entity,roc_auc,1.0,0.5,0.489946612993488
1,mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,cross_policy,accuracy,1.0,0.5,0.4955357142857143
1,mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,cross_policy,macro_f1,1.0,0.5,0.4744093252718453
1,mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,cross_policy,roc_auc,1.0,0.5,0.48346856938395527
1,mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,cross_task,accuracy,1.0,0.5,0.48863636363636365
1,mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,cross_task,macro_f1,1.0,0.5,0.3755909062433675
1,mediation_only,requires_history,ORIGINAL-MEDIATOR,SYMBOLIC,cross_task,roc_auc,1.0,0.5,0.48953780594405594
1,mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,grouped_entity,accuracy,1.0,0.5,0.4666666666666667
1,mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,grouped_entity,macro_f1,1.0,0.5,0.4385898036579172
1,mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,grouped_entity,roc_auc,1.0,0.5,0.46657530837218336
1,mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,cross_policy,accuracy,1.0,0.5,0.48995535714285715
1,mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,cross_policy,macro_f1,1.0,0.5,0.4489361491051283
1,mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,cross_policy,roc_auc,1.0,0.5,0.47362599258942395
1,mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,cross_task,accuracy,1.0,0.5,0.4914772727272727
1,mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,cross_task,macro_f1,1.0,0.5,0.4353619127868215
1,mediation_only,requires_history,ORIGINAL-MEDIATOR,FULL,cross_task,roc_auc,1.0,0.5,0.45727948858275563
1,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,SYMBOLIC,grouped_entity,accuracy,1.0,0.5,0.5177238805970149
1,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,SYMBOLIC,grouped_entity,macro_f1,1.0,0.5,0.5000457843869079
1,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,SYMBOLIC,grouped_entity,roc_auc,1.0,0.5,0.5208879858104214
1,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,SYMBOLIC,cross_policy,accuracy,1.0,0.5,0.5141225961538461
1,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,SYMBOLIC,cross_policy,macro_f1,1.0,0.5,0.4881082566202738
1,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,SYMBOLIC,cross_policy,roc_auc,1.0,0.5,0.49182404761382265
1,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,FULL,grouped_entity,accuracy,1.0,0.5,0.5387126865671642
1,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,FULL,grouped_entity,macro_f1,1.0,0.5,0.48638083204149124
1,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,FULL,grouped_entity,roc_auc,1.0,0.5,0.5142159892548968
1,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,FULL,cross_policy,accuracy,1.0,0.5,0.5324519230769231
1,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,FULL,cross_policy,macro_f1,1.0,0.5,0.4875084555201876
1,full_trajectory,permission_missing,ORIGINAL-MEDIATOR,FULL,cross_policy,roc_auc,1.0,0.5,0.4970322596272322
1,mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,grouped_entity,accuracy,1.0,0.5,0.48333333333333334
1,mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,grouped_entity,macro_f1,1.0,0.5,0.46960411556967285
1,mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,grouped_entity,roc_auc,1.0,0.5,0.4916207201363451
1,mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,cross_policy,accuracy,1.0,0.5,0.49107142857142855
1,mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,cross_policy,macro_f1,1.0,0.5,0.4701324823231274
1,mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,cross_policy,roc_auc,1.0,0.5,0.485728441864416
1,mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,cross_task,accuracy,1.0,0.5,0.4715909090909091
1,mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,cross_task,macro_f1,1.0,0.5,0.3429102596736517
1,mediation_only,requires_history,PER-SERVICE-ORAM,SYMBOLIC,cross_task,roc_auc,1.0,0.5,0.48953780594405594
1,mediation_only,requires_history,PER-SERVICE-ORAM,FULL,grouped_entity,accuracy,1.0,0.5,0.45208333333333334
1,mediation_only,requires_history,PER-SERVICE-ORAM,FULL,grouped_entity,macro_f1,1.0,0.5,0.42826044999032614
1,mediation_only,requires_history,PER-SERVICE-ORAM,FULL,grouped_entity,roc_auc,1.0,0.5,0.4940727675102675
1,mediation_only,requires_history,PER-SERVICE-ORAM,FULL,cross_policy,accuracy,1.0,0.5,0.48214285714285715
1,mediation_only,requires_history,PER-SERVICE-ORAM,FULL,cross_policy,macro_f1,1.0,0.5,0.4513982740942618
1,mediation_only,requires_history,PER-SERVICE-ORAM,FULL,cross_policy,roc_auc,1.0,0.5,0.4809669633566606
1,mediation_only,requires_history,PER-SERVICE-ORAM,FULL,cross_task,accuracy,1.0,0.5,0.4786931818181818
1,mediation_only,requires_history,PER-SERVICE-ORAM,FULL,cross_task,macro_f1,1.0,0.5,0.43468406003399707
1,mediation_only,requires_history,PER-SERVICE-ORAM,FULL,cross_task,roc_auc,1.0,0.5,0.4780146877270457
1,full_trajectory,permission_missing,PER-SERVICE-ORAM,SYMBOLIC,grouped_entity,accuracy,1.0,0.5,0.5121268656716418
1,full_trajectory,permission_missing,PER-SERVICE-ORAM,SYMBOLIC,grouped_entity,macro_f1,1.0,0.5,0.4941758163741186
1,full_trajectory,permission_missing,PER-SERVICE-ORAM,SYMBOLIC,grouped_entity,roc_auc,1.0,0.5,0.5197876914590831
1,full_trajectory,permission_missing,PER-SERVICE-ORAM,SYMBOLIC,cross_policy,accuracy,1.0,0.5,0.5162259615384616
1,full_trajectory,permission_missing,PER-SERVICE-ORAM,SYMBOLIC,cross_policy,macro_f1,1.0,0.5,0.4897366672531754
1,full_trajectory,permission_missing,PER-SERVICE-ORAM,SYMBOLIC,cross_policy,roc_auc,1.0,0.5,0.4918384780501703
1,full_trajectory,permission_missing,PER-SERVICE-ORAM,FULL,grouped_entity,accuracy,1.0,0.5,0.5466417910447761
1,full_trajectory,permission_missing,PER-SERVICE-ORAM,FULL,grouped_entity,macro_f1,1.0,0.5,0.5045314602877489
1,full_trajectory,permission_missing,PER-SERVICE-ORAM,FULL,grouped_entity,roc_auc,1.0,0.5,0.5259909680164429
1,full_trajectory,permission_missing,PER-SERVICE-ORAM,FULL,cross_policy,accuracy,1.0,0.5,0.5306490384615384
1,full_trajectory,permission_missing,PER-SERVICE-ORAM,FULL,cross_policy,macro_f1,1.0,0.5,0.48867887799504356
1,full_trajectory,permission_missing,PER-SERVICE-ORAM,FULL,cross_policy,roc_auc,1.0,0.5,0.49643992558389854
