baseline,real_operations,attempted_repetitions,measured_repetitions,metric,median,p95,mean,stddev
B3_PIR_PLUS_OHTTP_PADDED,50,30,30,peak_rss_bytes,128098304.0,128098304.0,128098304.0,0.0
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,1,30,30,logical_action_latency_ms,442.74852999999996,475.202681,445.8119632,14.40979987671134
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,1,30,30,framework_result_latency_ms,442.74852999999996,475.202681,445.8119632,14.40979987671134
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,1,30,30,session_wall_ms,4385.30042,4414.427269,4385.715700333333,16.453047231900666
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,1,30,30,bytes_sent,384124.0,384124.0,384124.0,0.0
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,1,30,30,bytes_received,284800.0,284800.0,284800.0,0.0
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,1,30,30,pir_request_bytes,280.0,280.0,280.0,0.0
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,1,30,30,pir_response_bytes,3296.0,3296.0,3296.0,0.0
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,1,30,30,total_bytes,672500.0,672500.0,672500.0,0.0
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,1,30,0,cpu_ms,,,,
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,1,30,0,peak_rss_bytes,,,,
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,5,30,30,logical_action_latency_ms,105.0102948,110.15038320000001,105.5576393,2.064614021735056
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,5,30,30,framework_result_latency_ms,105.0102948,110.15038320000001,105.5576393,2.064614021735056
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,5,30,30,session_wall_ms,4411.6870610000005,4434.874136,4407.794682933333,18.225172017412973
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,5,30,30,bytes_sent,384124.0,384124.0,384124.0,0.0
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,5,30,30,bytes_received,284800.0,284800.0,284800.0,0.0
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,5,30,30,pir_request_bytes,1400.0,1400.0,1400.0,0.0
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,5,30,30,pir_response_bytes,16480.0,16480.0,16480.0,0.0
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,5,30,30,total_bytes,686804.0,686804.0,686804.0,0.0
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,5,30,0,cpu_ms,,,,
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,5,30,0,peak_rss_bytes,,,,
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,10,30,30,logical_action_latency_ms,62.57178985,64.9403117,62.75402644,0.9909885244158163
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,10,30,30,framework_result_latency_ms,62.57178985,64.9403117,62.75402644,0.9909885244158163
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,10,30,30,session_wall_ms,4398.842707,4435.666833,4401.602139233333,25.023876078320104
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,10,30,30,bytes_sent,384124.0,384124.0,384124.0,0.0
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,10,30,30,bytes_received,284800.0,284800.0,284800.0,0.0
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,10,30,30,pir_request_bytes,2800.0,2800.0,2800.0,0.0
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,10,30,30,pir_response_bytes,32960.0,32960.0,32960.0,0.0
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,10,30,30,total_bytes,704684.0,704684.0,704684.0,0.0
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,10,30,0,cpu_ms,,,,
