runtime,family,variant,feature_set,model,mean_auc,ci_low,ci_high,permutation_baseline,permutation_p_value,episodes,tasks,split
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,READY_TIME,RandomForest,1.0,1.0,1.0,0.5104296875,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,QUEUE_DELAY,LogisticRegression,1.0,0.9999999999999999,1.0,0.5107291666666667,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,QUEUE_DELAY,LogisticRegression,1.0,1.0,1.0,0.5156640625,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,QUEUE_DELAY,RandomForest,0.9991319444444444,0.9982638888888888,1.0,0.5088628472222222,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,QUEUE_DELAY,RandomForest,1.0,1.0,1.0,0.5069921875,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,RELEASE_SLIP,LogisticRegression,0.5,0.5,0.5,0.5,1.0,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,RELEASE_SLIP,LogisticRegression,0.5,0.5,0.5,0.5,1.0,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,RELEASE_SLIP,RandomForest,0.5,0.5,0.5,0.5,1.0,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,RELEASE_SLIP,RandomForest,0.5,0.5,0.5,0.5,1.0,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,PROVENANCE_HISTORY,M2,RELEASE_TO_SEND,LogisticRegression,0.568576388888889,0.40576171874999994,0.7101888020833332,0.4943923611111111,0.1568627450980392,96,16,GROUPED_TASK_4FOLD
